codePostaleAdresse;adresseAdresse;communeAdresse
75015;24 rue Auguste Chabrières;Paris
75005;4 rue Scipion;Paris
75006;38 boulevard Saint-Michel;Paris
75006;9 rue Racine;Paris
75004;18 rue Chanoinesse;Paris
75006;44 boulevard Saint-Michel;Paris
75020;4 place Saint-Blaise;Paris
75006;2w rue de Médicis;Paris
75014;71 rue du Père Corentin;Paris
75013;1 boulevard Arago;Paris
75006;17 rue Auguste-Comte;Paris
75005;6 place Paul Painlevé;Paris
75005;340 rue Saint-Jacques;Paris
75003;1 rue du Temple;Paris
75004;2 bis quai des Célestins;Paris
75012;27 rue de Rambouillet;Paris
75005;25 boulevard Saint-Michel;Paris
75014;52 boulevard Saint-Jacques;Paris
75015;2X allée des Cygnes;Paris
75005;6 place Paul Painlevé;Paris
75005;240 rue Saint-Jacques;Paris
75005;1 rue Dante;Paris
75004;1 rue Rambuteau;Paris
75005;98 boulevard Saint-Germain;Paris
75005;44 rue des Bernardins;Paris
75018;1 rue des Abbesses;Paris
75006;3 rue Séguier;Paris
75004;38 rue Saint-Paul;Paris
75004;47 rue Vieille du Temple;Paris
75006;15 rue de Vaugirard;Paris
75005;9 rue de l'Abbé de l'Épée;Paris
75005;1 rue de Blainville;Paris
75005;1 rue Gay-Lussac;Paris
75001;1 rue des Halles;Paris
75005;1 place Sainte-Geneviève;Paris
75011;96 boulevard Beaumarchais;Paris
75004;4 rue Saint-Martin;Paris
75002;28 place de la Bourse;Paris
75002;1 place des Petits Pères;Paris
75002;51 rue Greneta;Paris
75001;2 quai François Mitterand;Paris
75004;17 rue Beautreillis;Paris
75006;37 rue du Four;Paris
75001;1 rue du Louvre;Paris
75005;5 rue Cujas;Paris
75017;141 avenue de Clichy;Paris
75014;4 rue Cassini;Paris
75004;22 rue du Cloître Notre-Dame;Paris
75005;67 boulevard Saint-Germain;Paris
75004;1 place Saint-Gervais;Paris
75006;87 boulevard Saint-Germain;Paris
75004;1 rue Chanoinesse;Paris
75006;13 rue de l'Odéon;Paris
75014;19 avenue du Parc de Montsouris;Paris
75013;1 avenue de la porte de Vitry;Paris
75005;270 rue Saint-Jacques;Paris
75012;223 rue de Bercy;Paris
75005;49 rue Monge;Paris
75006;3 rue de l'Abbaye;Paris
75006;2w rue de Médicis;Paris
75005;14 rue des Fossés-Saint-Marcel;Paris
75002;4 bis rue Saint-Sauveur;Paris
75006;2w rue de Médicis;Paris
75005;10 rue Pierre Nicole;Paris
75013;77 boulevard Saint-Marcel;Paris
75004;17 rue Neuve-Saint-Pierre;Paris
75006;1 place Saint Sulpice;Paris
75005;1 rue Soufflot;Paris
75005;301 rue Saint-Jacques;Paris
75001;204 rue Saint-Honoré;Paris
75005;1 rue Xavier-Privas;Paris
75006;44 boulevard Saint-Michel;Paris
75001;14 quai François Mitterand;Paris
75003;11 rue des Gravilliers;Paris
75005;77 rue Saint-Jacques;
75009;67 rue Caumartin;Paris
75004;4 rue du Cloître Notre-Dame;Paris
75014;7 rue Cassini;Paris
75005;11 place Marcelin Berthelot;Paris
75005;3 rue Larrey;Paris
75005;62 boulevard Saint-Germain;Paris
75003;254 rue Saint-Martin;Paris
75006;19 rue de Vaugirard;Paris
75006;15 rue de l'École de Médecine;Paris
75016;43 rue Raynouard;Paris
75004;14 rue Saint-Martin;Paris
75006;24 boulevard Saint-Michel;Paris
75005;51 boulevard Saint-Michel;
75005;43 rue Pierre Nicole;Paris
75005;25 boulevard Saint-Germain;Paris
75005;5 rue Cujas;Paris
75005;17 rue Malebranche;Paris
75005;47T boulevard Saint-Germain;Paris
75005;84 boulevard Saint-Germain;Paris
75012;9 avenue Ledru-Rollin;Paris
75013;3 rue de la Reine-Blanche;Paris
75011;2 rue Oberkampf;Paris
75013;39 quai Panhard et Levassor;
75006;23 quai de Conti;Paris
75005;11 rue Thénard;Paris
75004;29 bis rue des Francs-Bourgeois;Paris
75006;7 rue Mazet;Paris
75004;33 rue de la Verrerie;Paris
75004;16 quai des Célestins;Paris
75011;1 rue Pelée;Paris
75013;72 rue de la Glacière;Paris
75002;1 boulevard Poissonière;Paris
75006;2 rue Palatine;Paris
75005;292 rue Saint-Jacques;Paris
75006;3 place Saint-Germain-des-Prés;Paris
75005;4 rue du Marché des Patriarches;Paris
75001;165 rue Saint-Honoré;Paris
75005;10 rue de l'Abbé-de-l'Epée;Paris
75005;33 RUE SAINT JACQUES;Paris
75001;11 rue du Louvre;Paris
75002;283 rue Saint-Denis;Paris
75004;1 quai du Marché Neuf;Paris
75003;254 rue Saint-Martin;Paris
75006;4 rue Clément;Paris
75004;1 boulevard du Palais;Paris
75006;60 boulevard Saint-Michel;Paris
75005;254 rue Saint-Jacques;Paris
75015;12 rue Leblanc;Paris
75010;72 rue du Faubourg Saint-Martin;Paris
75005;8 rue de la Montagne Sainte-Geneviève;Paris
75001;5B place du Carrousel;Paris
75004;1 rue d'Ormesson;Paris
75006;1 place Paul Claudel;Paris
75004;1 rue Saint-Antoine;Paris
75018;7 rue Saint-Vincent;Paris
75005;53 rue Saint-Jacques;Paris
75005;4 rue Rataud;Paris
75003;4 rue Payenne;Paris
75003;71 rue du Temple;Paris
75013;1 rue de Tolbiac;Paris
75001;60w quai des Tuileries;Paris
75013;4 boulevard Arago;
75006;1 place de l'Odéon;Paris
75005;53 rue des Ecoles;Paris
75005;191 rue Saint-Jacques;Paris
75004;1 quai de l'Hôtel de Ville;Paris
75005;15 rue Pierre Nicole;Paris
75005;17 rue Pierre Nicole;Paris
75005;6 rue du Petit-Pont;Paris
75003;92 rue des Archives;Paris
75001;2A quai François Miterrand;Paris
75005;14 avenue des Gobelins;Paris
75006;35 rue Mazarine;Paris
75005;20 avenue des Gobelins;Paris
75004;2 rue de l'Hôtel Saint-Paul;Paris
75013;24 avenue des Gobelins;Paris
75005;43 rue Pierre Nicole;Paris
75013;26 avenue des Gobelins;Paris
75005;21 rue Cujas;Paris
75005;28 boulevard Saint-Marcel;Paris
75005;2 place Sainte-Geneviève;Paris
75005;66 boulevard Saint-Marcel;Paris
75003;70 rue de Turbigo;Paris
75005;88 ter boulevard de Port-Royal;Paris
75003;1 rue du Temple;Paris
75006;2w rue de Médicis;Paris
75004;5 rue Rambuteau;Paris
75004;1 place de l'Hôtel de Ville;Paris
75013;116 avenue d'Italie;Paris
75001;33 rue des Lombards;Paris
75004;1 rue du Cloître Notre-Dame;Paris
75005;61 boulevard Saint-Michel;Paris
75003;1 rue Vaucanson;Paris
75005;43 quai de la Tournelle;
