idDecouverte;syntheseDecouverte
1373;"Aucun vestige archéologique n'a été repéré lors de ce diagnostic. Néanmoins, les séquences sédimentaires fournissent des informations sur l'évolution du paysage de la Seine à l’Ère quaternaire."
1655;"Th. Vacquer signale la découverte, le 20 juillet 1868, à l'occasion de la construction de l'égout central, d'au moins six sépultures, à moins de 50 cm du sol de la rue actuelle. Parmi celles-ci, un sarcophage en pierre monolithe, avec un couvercle plat, et cinq sépultures en pleine terre."
1214;"En 1861, Théodore Vacquer découvrit la galerie extérieure du théâtre antique dit de la rue Racine à l'emplacement des cuisines du lycée Saint-Louis. Il mit également en évidence la voie publique qui l'entourait, l'amorce du vomitorium et une partie du mur extérieur de la cavea. Plus tard, la Commission s'assura de la justesse de ces observations en 1900 lors d'une réouverture du sol de ces mêmes cuisines."
1218;"En 1864, Théodore Vacquer releva des fondations de la scène et du mur occidental fermant la galerie périphérique du théâtre antique dit de la rue Racine, lors de l'installation de l'égout central de la rue Racine et de ses raccordements. Il mit également au jour à l'ouest une maçonnerie de plan circulaire dont la restitution est sans doute exagérée."
28;"En février 1908, à l'occasion de la construction d'immeubles, la Commission du Vieux Paris exerça une surveillance. Trente-cinq mètres de l'enceinte romaine furent alors découverts. Elle avait une inclinaison vers le fleuve. Un fragment d'architrave a été prélevé et envoyé au musée Carnavalet."
1960;"Une partie du mur de contrescarpe de l'enceinte de Philippe Auguste, datant selon les observateurs du XVIe siècle, a été signalée en 1900."
973;"Les premières traces d’occupation sur le site, un fossé et des trous de poteaux, datent du IXe siècle et à l’exception de deux tessons de céramique gallo-romaine, nous notons l’absence de mobilier résiduel plus ancien. Il semblerait donc qu’une première mise en valeur de la campagne à cet endroit ait eu lieu au cours de l’époque carolingienne, c’est-à-dire deux siècles environ avant la première mention de Charonne dans un acte de Robert II à la fin du Xe siècle.
Rapidement, une série de trente-deux sépultures est observée sur le site. Le mobilier céramique, rare dans ces contextes funéraires du haut Moyen Âge, appartient à l’horizon chronologique des IXe et Xe siècles. La densité des structures funéraires parait exclure l’hypothèse d’un groupe d’inhumations isolées au sein de l’habitat comme cela peut être le cas à cette période (Pecqueur 2003). Et si, en l’état actuel de nos connaissances, aucun édifice religieux n’existe alors, il faut voir en ce groupe d’inhumations la naissance d’un cimetière villageois qui sera à l’origine de la première église selon un processus de polarisation décrit par M. Lauwers notamment (Lauwers 2005, voir en particulier le chapitre V sur la formation de l’espace funéraire chrétien).
Nous assistons en effet à une structuration de cet espace funéraire par la construction de l’église originelle que nous nous proposons de dater du début du XIIe siècle (l’église est citée pour la première fois en 1140). Le creusement d’une abside semi-circulaire vient alors percer les anciennes sépultures et deux départs de maçonneries prolongeant l’abside vers l’ouest indiquent que nous sommes certainement en présence d’un édifice de type basilical à une nef de 7,50 m de largeur. À ce premier état de l’église de Charonne sont associées vingt sépultures qui sont creusées au pied du chevet, à l’extérieur de l’édifice. Pour cette période, aucune inhumation in ecclesia n’a été repérée. Dans le comblement des fosses sépulcrales, nous retrouvons de façon classique des dépôts de vases flammulés datés du XIVe siècle. 
Au milieu du XVe siècle, l’église est reconstruite presque entièrement. Le nouveau chevet plat est agrandi vers l’est, englobant ainsi l’espace qui auparavant accueillait les inhumations de la phase précédente. Les deux piliers qui soutiennent encore la voûte du chœur sont installés sur la maçonnerie de l’ancienne abside. Deux séries d’aménagement structurent l’espace intérieur : entre les deux piliers du chœur, une maçonnerie continue comportant en son centre un fût de colonne devait servir de fondation pour un dispositif de séparation entre la nef et l’espace réservé au clergé (jubé, chancel ?) ; au sud, des cloisons de plâtre fermaient également l’espace entre les deux dernières travées du collatéral sud. Seul un étroit couloir devait permettre de circuler entre les deux.

L’opération de fouille du chœur de l’église Saint-Germain de Charonne a permis d’appréhender les premières traces d’occupation sur le versant de la butte de Ménilmontant à l’époque carolingienne. Il s’agit de fait du premier témoignage concernant l’existence du village. 
Le site est très intéressant du point de vue de l’évolution des pratiques funéraires puisqu’il permet de suivre la structuration de cet espace sacré sur plus d’un millénaire, depuis l’époque où nous sommes en présence très probablement d’une nécropole isolée jusqu’à la création de l’église au XIIe siècle puis au travers de toutes ses évolutions de la fin du Moyen Âge jusqu’à l’époque contemporaine."
1476;"Lors de travaux paysagers dans le jardin, A. Högström découvrit des restes céramiques provenant d'une couche située à 2,50 m de profondeur. L'ensemble est daté du règne des empereurs flaviens."
1364;"Ce diagnostic a permis d'établir un premier bilan archéologique du terrain étudié. Plusieurs phases d'occupation ont été mises en évidence. La première phase mal datée est représentée par une petite fosse et deux fossés très probablement parcellaires mis au jour dans le secteur de la rue de la Tombe-Issoire. Les structures ont été creusées dans le lambeau de sol holocène (US 5) et recouvertes par les horizons postérieurs (labours anciens, terre végétale, remblais). Les fossés sont perpendiculaires à la rue du Père Corentin (ancien chemin vicinal) et leur orientation diffère du réseau parcellaire actuel déjà en place à la fin du XVIIIe siècle.
Toutes ces structures présentent le même remplissage unique composé de limon sableux brun orangé et pierres sans mobilier à l'exception d'un fragment de tegulae trouvé dans une petite fosse circulaire.
La deuxième phase est liée à l'exploitation d'une carrière calcaire et marne au XVIIIe siècle et au tout début du XIXe siècle. L'extraction du calcaire lutétien est attestée par au moins quatre puits d'exploitation comblés ou injectés de ciment et graviers.
La marne a été extraite à ciel ouvert dans le niveau du marno-calcaire de Saint-Ouen. Cette activité est représentée par une vaste fosse d'extraction avec une rampe d'accès qui recoupe la fosse de la phase précédente.
La mise en place des limites parcellaires sous la forme des clos délimités de murs date très probablement du XIXe siècle, après l'arrêt des activités d'extraction et représente la troisième phase d'occupation du secteur étudié.
La quatrième et dernière phase d'occupation est liée à la construction du dépôt de bus à partir de 1883.
Les vestiges rencontrés sont des longrines supportant la dalle et le bâtiment dans les sondages 2 et 5, une première dalle avec plusieurs canaux maçonnés du dépôt des tramways dans le sondage 4 ainsi qu'une galerie technique reliant deux bâtiments du dépôt de bus de Montrouge mise au jour dans le sondage 5.
Le diagnostic a ainsi mis au jour relativement peu de vestiges archéologiques. Aucune occupation antique ou médiévale n'a été rencontrée. Les structures les plus anciennes (des fossés parcellaires, une fosse indéterminée) sont antérieures au XVIIIe siècle et datent très probablement de la période moderne. Cette occupation est suivie par une activité de carrière au XVIIIe siècle (marnière avec une rampe, puits d'extraction). Le reste des vestiges se réfère au dépôt des bus construit sur le site à partir de 1883."
1570;"Une stèle est répertoriée dans le Recueil des bas-reliefs de la Gaule romaine d'E. Espérandieu, comme ayant été découverte en 1868. Aucune référence d'origine dans les papiers de Th. Vacquer, si ce n'est une photo, ce qui démontre sans doute qu'il en est l'inventeur. Stèle funéraire d'un militaire, en plusieurs fragments, raccordés au plâtre, découverte remployée à la construction d'une sépulture. Cavalier des troupes romaines. Le personnage peut-être casqué et cuirassé, est représenté à cheval, galopant. Il tient une lance ; sa monture foule un ennemi barbu, renversé ; derrière lui marche un servant portant un javelot."
