dateOperation;natureOperation
2005;Diagnostic
1868;Découverte ancienne
1861;Découverte ancienne
1864;Découverte ancienne
1908;Découverte ancienne
1900;Découverte ancienne
2014;Fouille
1953;Découverte ancienne
2013;Diagnostic
1868;Découverte ancienne
1992;Sondage
1980;Sondage
1884;Découverte ancienne
1906;Découverte ancienne
1997;Diagnostic
2000;Diagnostic
;Découverte ancienne
1901;Découverte ancienne
1904;Découverte ancienne
2017;Sondage
1887;Découverte ancienne
1885-1886;Découverte ancienne
1844;Découverte ancienne
;Découverte ancienne
2019;Diagnostic
1844;Découverte ancienne
;Découverte ancienne
1915;Découverte ancienne
2017;Fouille
;Découverte ancienne
1882;Découverte ancienne
1896;Découverte ancienne
1924;Découverte ancienne
1906;Découverte ancienne
1851;Découverte ancienne
1928-1930;Découverte ancienne
;Découverte ancienne
1904;Découverte ancienne
1901;Découverte ancienne
1899;
2014;Fouille
1902;Découverte ancienne
;Découverte ancienne
1898;Découverte ancienne
1893;Découverte ancienne
1993;Diagnostic
2015;Diagnostic
1847;Découverte ancienne
1845 ?;Découverte ancienne
1914;Découverte ancienne
1925;Découverte ancienne
1896;Découverte ancienne
1914;Découverte ancienne
1935;Découverte ancienne
1934;Découverte ancienne
1931 - 1932;Découverte ancienne
1941;Découverte ancienne
"1914 ; 1915 ; 1916";Découverte ancienne
1960;Sondage
1957;Sauvetage urgent
1957;
1959;
1973;Suivi de travaux
1981;Sauvetage urgent
1974;
1964;
1969;
1971;Fouille
1973;
1972;Découverte ancienne
1983;Sauvetage urgent
1994;Diagnostic
1991 - 1992;Sauvetage urgent
2006;Étude documentaire
1927;Découverte ancienne
1994;Diagnostic
1860;Découverte ancienne
1903 - 1905;Découverte ancienne
;Découverte ancienne
1994;Diagnostic
1928;Découverte ancienne
1997;Autres études
2002;Sauvetage urgent
1983;Autres études
2005;Diagnostic
1991;Sauvetage urgent
1997;Diagnostic
1862;Découverte ancienne
1873 - 1874;Découverte ancienne
1886;Découverte ancienne
1640;Découverte ancienne
1891;Découverte ancienne
1861;Découverte ancienne
1902;Suivi de travaux
1995;Diagnostic
2000;Fouille
1928-1930;
2000;Diagnostic
2015;Fouille
1861;Découverte ancienne
2013 - 2014;Sondage
1927;Découverte ancienne
1935;Découverte ancienne
1924;
1935;
1929;Découverte ancienne
1930;
1930;
1956;Suivi de travaux
1981-1983;Sauvetage urgent
1982-1983;
1978;Suivi de travaux
1975;Sauvetage urgent
1975;Suivi de travaux
1993;Diagnostic
1976;Suivi de travaux
1983;Sauvetage urgent
1976;Suivi de travaux
1983;Suivi de travaux
1983;
1989;Fouille
1989;Diagnostic
1994;Diagnostic
1892 - 1895;Découverte ancienne
1867;Découverte ancienne
1989 - 1990;Fouille
1898;Découverte ancienne
;Découverte ancienne
1898 - 1899;Découverte ancienne
2015;Diagnostic
1927;Découverte ancienne
1999;Diagnostic
2018;Sondage
2006;Diagnostic
1993;Diagnostic
2004;Fouille
1867-1868;Découverte ancienne
2007;Fouille
;Découverte ancienne
1990;Sondage
"1921 ; 1922";Découverte ancienne
1922-1923;Découverte ancienne
1882;Découverte ancienne
1962;Découverte ancienne
1898;Découverte ancienne
1981;
1880;Découverte ancienne
1996;Diagnostic
1874;Découverte ancienne
1916;Découverte ancienne
1869;Découverte ancienne
1873;Découverte ancienne
;Découverte ancienne
1863;Découverte ancienne
1868;Découverte ancienne
1859;Découverte ancienne
1868;Découverte ancienne
1902;Découverte ancienne
1914 - 1915;Découverte ancienne
1902;Découverte ancienne
2015;Suivi de travaux
1909;Découverte ancienne
1901;Découverte ancienne
1994;Diagnostic
1853;Découverte ancienne
2014;Sondage
1999;Sauvetage urgent
1999;Évaluation archéologique
1735;Découverte ancienne
1912;Découverte ancienne
1868;Découverte ancienne
2005;Étude documentaire
1997;Diagnostic
;Découverte ancienne
1898;Découverte ancienne
1866;Découverte ancienne
1997;Diagnostic
2008;Diagnostic
1801 - 1811;Découverte ancienne
2015;Fouille
1884;Découverte ancienne
1993;Sondage
;Découverte ancienne
1913;Découverte ancienne
1844;Découverte ancienne
1900;Découverte ancienne
;Découverte ancienne
1900;Découverte ancienne
1873-1874;Découverte ancienne
2006;Étude documentaire
2017;Diagnostic
1909;Découverte ancienne
1843 c.;Découverte ancienne
1911;Découverte ancienne
2002;Diagnostic
;Diagnostic
1994;Diagnostic
1903;Découverte ancienne
1840;Découverte ancienne
1903;Découverte ancienne
1862;Découverte ancienne
;Découverte ancienne
1968;Découverte fortuite
1938;Découverte ancienne
1907;Découverte ancienne
1914;Découverte ancienne
1844;Découverte ancienne
1885;Suivi de travaux
1899;Découverte ancienne
2006;Diagnostic
1855 et 1867;Découverte ancienne
1999;Évaluation archéologique
1903;Découverte ancienne
;Découverte ancienne
1880-1882;Découverte ancienne
2016;Diagnostic
1999;Diagnostic
1899;Découverte ancienne
1829;Découverte ancienne
2019 - 2020;Diagnostic
1901;Découverte ancienne
1898;Découverte ancienne
1894;Découverte ancienne
1921;Découverte ancienne
1868;Découverte ancienne
1900;Découverte ancienne
1867;Découverte ancienne
1895;Découverte ancienne
1905;Découverte ancienne
1911;Découverte ancienne
1928;
2014;Sondage
1911;Découverte ancienne
1880;Découverte ancienne
1912;Découverte ancienne
1927;Découverte ancienne
1912;Découverte ancienne
1898;Découverte ancienne
1927;Découverte ancienne
2016;Fouille
1935;Découverte ancienne
1924;Découverte ancienne
1925-1926;Suivi de travaux
1855;Découverte ancienne
1933;Découverte ancienne
1894;Découverte ancienne
"1922 ; 1923 ; 1924 ; 1925";Suivi de travaux
1900;Découverte ancienne
1924;Découverte ancienne
1845;Découverte ancienne
1940;
1897;Découverte ancienne
1934;
1854 - 1855;Découverte ancienne
1961;Suivi de travaux
1861;Découverte ancienne
1964;Découverte ancienne
;Découverte ancienne
1956;
1954;Découverte ancienne
1960;
1957;Suivi de travaux
1960;
1963;Découverte ancienne
1977-1978;
1994;Sondage
1995;Diagnostic
1988;Suivi de travaux
1988;Découverte fortuite
1909;Découverte ancienne
;Découverte ancienne
2010;Diagnostic
1993;Diagnostic
1897;Découverte ancienne
2016;Diagnostic
2009;Fouille
1960;
1924;Découverte ancienne
1989;Sondage
2007;Suivi de travaux
2015;Fouille
1995;Diagnostic
1906;Découverte ancienne
1873;Découverte ancienne
1873;Découverte ancienne
1841;Découverte ancienne
1844;Découverte ancienne
2015;Diagnostic
2015;Suivi de travaux
;Découverte ancienne
1902;Découverte ancienne
1874;Découverte ancienne
;Découverte ancienne
1806;Découverte ancienne
1853;Découverte ancienne
1996;Diagnostic
2007;Sondage
2009;Suivi de travaux
1915;Découverte ancienne
1862;Découverte ancienne
1846;Découverte ancienne
;Découverte ancienne
1980;Sondage
;Découverte ancienne
1758;Découverte ancienne
1886;Découverte ancienne
2008;Diagnostic
2003;Diagnostic
1865;Découverte ancienne
1717;Découverte ancienne
1800;Découverte ancienne
1873;Découverte ancienne
1844;Découverte ancienne
;Découverte ancienne
2016;Diagnostic
1898;Découverte ancienne
1877;Découverte ancienne
1875;Découverte ancienne
2015;Suivi de travaux
1898;Découverte ancienne
1911;Découverte ancienne
2016;Diagnostic
;Découverte ancienne
1993;Diagnostic
1912;Découverte ancienne
1849;Découverte ancienne
2002;Diagnostic
2006;Étude documentaire
1872;Découverte ancienne
1880;Découverte ancienne
;Découverte ancienne
1912;Découverte ancienne
1923 - 1927;Découverte ancienne
1927;Découverte ancienne
1922;Découverte ancienne
1922;
1924;Étude documentaire
1904;Découverte ancienne
1920;Découverte ancienne
1967;
1956;Fouille
1978;Suivi de travaux
1960;Suivi de travaux
1975;Découverte ancienne
1977;Suivi de travaux
;
1976;Sauvetage urgent
1980;Suivi de travaux
1986;Sauvetage urgent
