647842.18;6859634.74;"{""coordinates"": [2.28943838628093, 48.83465426413984], ""type"": ""Point""}";"48.8346542641,2.28943838628"
652.586.772;6859979.93;"{""coordinates"": [2.354033887172461, 48.838125106965954], ""type"": ""Point""}";"48.838125107,2.35403388717"
651.719.218;6861276.9;"{""coordinates"": [2.34206749293576, 48.84972440096615], ""type"": ""Point""}";"48.849724401,2.34206749294"
651.655.987;6861316.41;"{""coordinates"": [2.341201378506024, 48.850074980233956], ""type"": ""Point""}";"48.8500749802,2.34120137851"
652.360.223;6861736.29;"{""coordinates"": [2.350750737016032, 48.85390334693091], ""type"": ""Point""}";"48.8539033469,2.35075073702"
651682.1;6861193.81;"{""coordinates"": [2.341571142934774, 48.84897438490841], ""type"": ""Point""}";"48.8489743849,2.34157114293"
656.252.826;6862417.03;"{""coordinates"": [2.403728144324941, 48.86030132607879], ""type"": ""Point""}";"48.8603013261,2.40372814432"
651.460.033;6861033.01;"{""coordinates"": [2.338563528236437, 48.84751159880515], ""type"": ""Point""}";"48.8475115988,2.33856352824"
650.625.296;6858403.72;"{""coordinates"": [2.327494550896945, 48.82380286115095], ""type"": ""Point""}";"48.8238028612,2.3274945509"
652403.87;6859799.41;"{""coordinates"": [2.351562306401457, 48.836488206268236], ""type"": ""Point""}";"48.8364882063,2.3515623064"
651183.14;6860671.25;"{""coordinates"": [2.334832110813421, 48.8442373990913], ""type"": ""Point""}";"48.8442373991,2.33483211081"
651.856.689;6861343.35;"{""coordinates"": [2.343933229841042, 48.85033226006315], ""type"": ""Point""}";"48.8503322601,2.34393322984"
651560.09;6860142.2;"{""coordinates"": [2.340028358319372, 48.83950810966198], ""type"": ""Point""}";"48.8395081097,2.34002835832"
653.520.284;6862752.84;"{""coordinates"": [2.366448558725188, 48.863129791195924], ""type"": ""Point""}";"48.8631297912,2.36644855873"
653.192.634;6861475.57;"{""coordinates"": [2.362123290395262, 48.85161970185775], ""type"": ""Point""}";"48.8516197019,2.3621232904"
654.635.529;6860669.9;"{""coordinates"": [2.381871759807848, 48.84447753668067], ""type"": ""Point""}";"48.8444775367,2.38187175981"
651.783.395;6861353.06;"{""coordinates"": [2.342933370082706, 48.85041411884568], ""type"": ""Point""}";"48.8504141188,2.34293337008"
651.178.537;6859517.29;"{""coordinates"": [2.3349018306962632, 48.83385944257383], ""type"": ""Point""}";"48.8338594426,2.3349018307"
647.747.064;6861973.44;"{""coordinates"": [2.287855324877881, 48.85567834758153], ""type"": ""Point""}";"48.8556783476,2.28785532488"
651.856.689;6861343.35;"{""coordinates"": [2.343933229841042, 48.85033226006315], ""type"": ""Point""}";"48.8503322601,2.34393322984"
651.697.918;6860661.51;"{""coordinates"": [2.341847143378773, 48.84418858194454], ""type"": ""Point""}";"48.8441885819,2.34184714338"
652.093.683;6861454.55;"{""coordinates"": [2.347150159339416, 48.8513499136367], ""type"": ""Point""}";"48.8513499136,2.34715015934"
652.795.131;6862421.09;"{""coordinates"": [2.356601488722776, 48.86009370171276], ""type"": ""Point""}";"48.8600937017,2.35660148872"
651.849.129;6861460.6;"{""coordinates"": [2.34381693452027, 48.85138608195723], ""type"": ""Point""}";"48.851386082,2.34381693452"
652.263.012;6861150.77;"{""coordinates"": [2.34949171242585, 48.848630601122196], ""type"": ""Point""}";"48.8486306011,2.34949171243"
651.563.699;6865054.6;"{""coordinates"": [2.3395177100893543, 48.8836848766979], ""type"": ""Point""}";"48.8836848767,2.33951771009"
